,0
0,-2.0035217
1,-1.5674595
2,-0.9265695
3,-0.82659537
4,-0.8420973
5,-0.451818
6,-0.4485354
7,0.38515976
8,0.51741785
9,1.2208847
10,1.3361845
11,1.5528487
12,1.7739652
13,2.365495
14,2.5391307
15,2.8623073
16,2.9536555
17,2.9382107
18,2.8824265
19,2.2555034
20,2.4384327
21,2.8592372
22,3.272151
23,3.4348097
24,3.9674215
25,4.0254226
26,4.1929135
27,4.0315394
28,4.0860023
29,3.8791807
30,3.7696917
31,3.2560415
32,3.4037223
33,3.5828032
34,3.3662238
35,3.2482371
36,3.2827065
37,3.212037
38,2.7455175
39,2.6098557
40,2.6343737
41,2.4178889
42,2.3602104
43,2.861499
44,2.282466
45,1.8765451
46,1.6265904
47,1.5167881
48,1.0716414
49,1.1545843
50,0.9561325
51,0.29179177
52,0.30928066
53,0.45721263
54,0.6153357
55,1.0994717
56,1.6542355
57,0.9439741
58,1.2021135
59,0.64631176
60,0.6248624
61,0.50855905
62,0.5665497
63,0.02269723
64,0.16041765
65,0.29767713
66,0.45578432
67,1.1368546
68,1.057466
69,0.9228924
70,0.9496075
71,1.2885939
72,1.7912865
73,2.1122656
74,2.2913206
75,2.526866
76,2.4260983
77,2.2310054
78,1.5051616
79,2.198909
80,1.9677266
81,1.8483347
82,2.3730617
83,2.5106013
84,3.1944127
85,3.5238938
86,3.99477
87,3.7132547
88,3.147971
89,2.8263714
90,2.700728
91,2.3486967
92,2.8142588
93,2.5951626
94,2.353171
95,2.052036
96,2.0910516
97,1.2290492
98,0.96768004
99,0.7025569
100,1.4427514
101,1.760439
102,2.1568217
103,2.3336558
104,2.0117886
105,2.3274345
106,2.18681
107,2.7043586
108,3.1293702
109,2.808532
110,3.060198
111,3.2637222
112,2.7724044
113,2.9799438
114,2.862686
115,3.068111
116,3.2976694
117,3.6207001
118,3.7035818
119,4.0229015
120,4.002042
121,4.8436165
122,4.8252525
123,4.676379
124,5.1234193
125,4.7539887
126,5.381041
127,5.2234106
128,5.6364594
129,5.8633375
130,5.1850624
131,5.3274035
132,5.4403853
133,5.0995984
134,5.190981
135,5.1230283
136,4.557977
137,4.6436095
138,4.40012
139,4.5066185
140,4.3836117
141,4.2958684
142,4.2407866
143,4.116605
144,4.1554875
