time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6
1,relative_humidity_70_min,4.188824915310847,-1.6506266745820741,0.4337564808675948,-0.2433219800309261,-0.48489073549400363,0.4027682320232923
2,relative_humidity_70_min,4.1062790730765455,-1.575275764004204,0.30101749293934216,-0.22046741848549156,-0.3728383346483516,0.33942376410743574
3,relative_humidity_70_min,3.349439958125571,-0.5884893942253729,-0.10713943096415035,0.49842563305355325,-0.07513829431053459,0.8273029048615793
4,relative_humidity_70_min,2.919504529622395,-0.3001294145724691,-0.1453296904631317,0.6390996660580254,0.05807421011096997,-0.1902142459962216
5,relative_humidity_70_min,2.4652990015351377,-0.09705263590910339,-0.23667512024239404,0.5570128484366809,0.15230439284373046,0.037071368848456625
6,relative_humidity_70_min,2.2489529992285022,-0.21409568325763983,-0.28338173270878203,0.24083161249037544,0.21860499794871424,0.17067990081571702
7,relative_humidity_70_min,2.0907450700865486,-0.43387679417367236,-0.2585918104063804,-0.25813790174547235,0.2923280342457212,-0.08485703534136668
8,relative_humidity_70_min,2.4251995441972656,-0.7960210367102456,-0.13143843291415133,-0.5385501827374845,0.2788204732257589,-0.27425664962394875
9,relative_humidity_70_min,2.4320865583799,-0.8797784837318182,-0.15140363620898284,-0.4755310872830478,0.13790469901434033,-0.38278394899239016
10,relative_humidity_70_min,2.6493157895587314,-0.016207857254346026,-0.07930573882290735,0.05921816137252562,-0.12896411535885444,-0.3301912074342989
11,relative_humidity_70_min,2.2835781440054728,0.02632440199731646,0.02870847795623015,0.11516176135274699,-0.15166368717758041,-0.34817785392210365
12,relative_humidity_70_min,1.6598338692256258,-0.00010240556497164723,0.19123147914405295,0.0802332561356529,-0.01369880907124851,-0.4412307789093766
13,relative_humidity_70_min,1.0730793159998258,0.2196337092836023,0.2513850266051282,-0.2512926932363745,0.16845275759125397,-0.34336600289737595
14,relative_humidity_70_min,0.9142087073849525,0.5232696886871986,0.2807394355349407,-0.26282448726491875,0.1548073613603069,-0.269303234088679
15,relative_humidity_70_min,0.6707778703235183,0.839832830075951,0.4726419920552428,-0.39705986392955367,0.16571810803728185,-0.17671845208503717
16,relative_humidity_70_min,0.3490459245467352,1.2647326195126696,0.5929661058730525,-0.6010883040196694,0.20397494650633652,-0.006434396432689713
17,relative_humidity_70_min,0.2144926384049026,1.6023784011370117,0.25761929866240296,-0.5524727982608686,0.14141436579498287,0.11035230365383096
18,relative_humidity_70_min,-0.24343237407801965,1.5656389355009515,0.1401181800543211,-0.4818669406607034,0.0270740546824746,0.17053495858741768
19,relative_humidity_70_min,-0.3128576210443741,1.868869312967561,0.04016718125639486,-0.3405550089578322,-0.02335680334125805,0.308291699474774
20,relative_humidity_70_min,-0.3994914115658016,2.0887842644983126,0.20249718142103254,-0.2436862304947871,-0.3095757842466954,0.2917443289592297
21,relative_humidity_70_min,-0.36477396470942586,2.0244976436297066,0.06073784397896701,0.02554595062512588,-0.47613711342389503,0.06313309448851134
22,relative_humidity_70_min,0.11678012906539036,1.4041950188497794,-0.586004827531843,1.4770629529945443,-0.1629595074510725,-0.08109955595127358
23,relative_humidity_70_min,0.013826228848507791,1.2027331558504353,-0.3985603002649899,1.2434529638553176,0.046711583648021096,-0.137595955112121
24,relative_humidity_70_min,-1.9537132883800865,-0.34891664773383085,-0.9367794107103357,0.0033524550578519488,0.947165024812022,0.3475719670373137
25,relative_humidity_70_min,-2.1322333832790896,-0.5622674498306582,-0.8040776677822995,-0.14145400980262757,0.6717346810078118,0.20805532901957352
26,relative_humidity_70_min,-2.157878388236517,-0.35969248056408804,-0.623319388951279,-0.42528388510842813,0.41019618789251044,0.07305047299056255
27,relative_humidity_70_min,-2.3265031937075675,-0.5594291680824208,-0.3363212825168533,-0.22145072025414522,-0.08143720948521513,-0.1198253457835141
28,relative_humidity_70_min,-2.629294140220204,-0.6947511552235198,-0.6043127411047404,0.04583864226178671,-0.3731255372373323,-0.10726309941507814
29,relative_humidity_70_min,-2.695978934182078,-0.7054738630191294,-0.7576270574576907,0.1696060798412226,-0.20054203875476753,-0.03850048029432471
30,relative_humidity_70_min,-2.754647596425218,-0.7272595007072987,-0.8122546609284832,0.005975304813023452,-0.38970650102844523,-0.07497113496983933
31,relative_humidity_70_min,-2.8573232330586675,-0.6628880411375734,-0.611902458449295,-0.35049146338737963,-0.4957292366814841,-0.05253736322924872
32,relative_humidity_70_min,-3.057567914280643,-0.4378079874155619,-0.42086291483167226,-0.4879861236179029,-0.768592925523466,-0.029950433580253805
33,relative_humidity_70_min,-3.0540219378801314,-0.3636813166294188,1.0231685299629192,-0.15366667206313642,0.02659463240953646,0.12986847621064165
34,relative_humidity_70_min,-3.0830807426117746,-0.7225751459484875,1.1414810784109561,0.28885067846544615,0.09755893499412459,0.09776831369839978
35,relative_humidity_70_min,-3.0982223711324384,-0.9303663642578577,1.3203574867830397,0.5537785184491844,0.17792484764721375,-0.015110911286850102
36,relative_humidity_70_min,-3.050249772134325,-1.004124717454733,1.546695031754746,0.6437412860776686,0.13099233946107924,-0.07322902943074217
