,0
35,9.355641e-05
36,0.00012721885
37,9.461127e-05
38,6.140728e-05
39,5.578233e-05
40,6.4116546e-05
41,8.050183e-05
42,7.1551054e-05
43,4.581114e-05
44,5.1715495e-05
45,4.2356016e-05
46,3.575801e-05
47,3.427363e-05
48,4.1612326e-05
49,2.4560888e-05
50,2.104733e-05
51,2.0331292e-05
52,1.72912e-05
53,5.9235635e-06
54,9.506006e-06
55,9.154096e-06
56,2.92426e-05
57,1.7447144e-05
58,1.4217993e-05
59,1.5810121e-05
60,1.9437415e-05
61,3.8244703e-05
62,6.094725e-05
63,4.8232992e-05
64,5.293757e-05
65,4.0442315e-05
66,3.6424015e-05
67,2.3944809e-05
68,1.9593941e-05
69,2.0451866e-05
