,0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,3.3341348e-07
118,3.3341348e-07
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,3.3341348e-07
125,3.3341348e-07
126,1.3336539e-06
127,3.3341348e-07
128,0.0
129,3.3341348e-07
130,0.0
131,0.0
132,0.0
133,3.3341348e-07
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,3.3341348e-07
162,6.6682696e-07
163,6.6682696e-07
164,1.0002404e-06
165,1.0002404e-06
