,0
0,19.20289
1,19.649841
2,19.555397
3,20.141508
4,19.506517
5,19.342482
6,20.034231
7,22.038939
8,24.745794
9,27.522377
10,30.255846
11,31.81627
12,32.721645
13,33.705803
14,35.16296
15,36.777668
16,37.44926
17,39.714542
18,40.779198
19,41.103703
20,41.027763
21,40.648087
22,40.13271
23,39.494946
24,39.05446
25,38.101486
26,37.480446
27,37.076313
28,35.013256
29,34.497223
30,33.335938
31,32.927937
32,31.430014
33,31.107895
34,30.637966
35,30.266666
36,30.233248
37,30.77632
38,31.082191
39,31.96232
40,32.87423
41,33.064545
42,33.4474
43,32.886135
44,32.74085
45,32.88187
46,33.864487
47,34.68634
48,35.032475
49,35.09723
50,34.4155
51,34.51094
52,32.569748
53,32.096844
54,31.297035
55,30.77639
56,31.805492
57,30.707678
58,30.37808
59,28.270657
60,26.986916
61,26.749443
62,27.932774
63,27.295362
64,28.652538
65,29.560198
66,29.355608
67,29.72772
68,29.916912
69,30.679651
70,31.812931
71,33.36438
72,35.005455
73,36.33838
74,37.26061
75,38.119106
76,37.466908
77,37.426758
78,37.184875
79,35.969875
80,35.464012
81,35.503662
82,36.223843
83,37.17882
84,37.95835
85,38.9569
86,39.810226
87,39.440655
88,38.932446
89,39.18116
90,39.359703
91,38.9281
92,37.980785
93,36.58235
94,33.94841
95,30.926275
96,28.653309
97,26.905886
163,21.321785
164,22.973267
165,24.538504
166,26.475107
167,29.736763
168,30.72522
169,32.084545
170,32.66629
171,32.83344
172,31.573652
173,31.093945
174,30.430252
175,29.961483
176,29.491152
177,28.67315
178,27.645533
179,27.14301
180,26.578684
181,26.056751
182,25.981573
183,25.715702
