,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,2,284.18378,284.02902,283.79767,283.7286,283.66095,283.38525,282.6697,282.3735,282.0628,281.96866,281.26028,280.11877,280.01758,279.9297,280.0192
2,3,283.64508,283.2954,283.13983,283.0381,282.904,282.63104,281.38684,280.73248,279.6078,279.8827,279.59668,279.44897,279.2453,279.05823,278.64615
4,5,283.38232,283.24115,283.04022,282.88248,282.9643,282.8526,282.60437,282.20862,282.34976,282.21527,282.50714,281.77734,281.5113,280.75638,280.65222
5,6,284.13983,284.6635,284.4137,283.80478,283.78833,283.8762,283.88272,283.66696,283.65442,283.6921,284.1037,283.44885,283.15057,282.748,282.7387
6,7,286.349,286.07257,286.0276,285.68744,285.47662,284.61707,284.4734,284.1251,283.62726,283.4239,283.17944,282.82635,282.73755,282.21808,282.03278
7,8,278.2591,278.27032,278.32758,278.45636,278.52545,278.55188,278.6481,278.79565,278.93698,278.96472,279.05072,278.94858,278.8431,278.7671,278.6316
8,9,282.97293,282.4395,280.2372,278.2552,277.9016,277.81302,277.6014,277.2876,277.4378,277.40082,277.35846,277.35815,277.4489,277.52377,277.51993
9,10,281.50653,281.84183,281.20148,279.24072,279.42255,279.39728,279.18634,279.20923,278.17316,278.1948,277.9805,277.86942,278.03632,277.9405,277.81763
10,11,282.61865,282.01172,281.66028,281.4243,281.0951,280.21848,276.32367,276.3825,276.47293,276.3932,277.87848,277.50665,277.1725,277.4052,277.489
15,16,283.54184,282.88962,282.65234,282.48965,282.60364,282.08887,281.66852,281.42517,281.18958,281.02878,280.77747,280.35907,280.01398,280.17188,279.7435
16,17,286.65076,286.25153,285.83005,285.83105,285.56192,285.24292,284.91504,285.31583,285.54282,286.41602,285.19528,284.5584,284.5664,283.24457,283.39172
18,19,283.99213,283.7962,283.19452,282.61108,282.3776,281.8833,281.64392,281.62314,281.61545,281.53802,281.44623,281.24838,280.4828,280.53345,280.50116
19,20,282.74716,282.00458,283.05652,283.0058,281.69904,280.45712,280.61978,279.8218,279.3526,279.87408,280.09842,279.5442,279.5171,279.18005,278.31085
20,21,276.70642,276.64227,276.8253,276.9054,276.7647,277.05835,276.8595,276.84778,276.8255,276.4214,276.38788,276.38257,276.37378,276.20425,276.42816
21,22,285.20187,284.99487,284.90533,284.78278,284.76065,284.59747,284.172,284.20532,283.70465,283.1056,282.49402,282.56787,282.70453,282.34467,281.7951
26,27,286.41397,286.5339,286.39017,286.05212,285.7937,285.69745,285.63635,285.7896,285.41138,285.33795,285.51263,285.3548,285.47955,285.522,285.9992
27,28,285.12836,285.1258,282.96106,282.99243,284.7682,284.58075,283.0315,281.94348,282.58957,281.5526,281.79208,281.96158,281.09332,281.4052,282.30212
28,29,282.84952,282.66943,282.5881,282.39212,282.61954,282.01794,282.20685,281.373,281.13263,280.3705,280.30347,280.32138,280.3251,279.842,279.3519
29,30,283.08533,282.95813,282.65076,282.4347,282.02945,282.00528,281.99933,281.30945,280.70947,280.5531,280.13214,279.72568,279.6836,279.75537,279.75934
31,32,282.0605,282.29642,282.55304,282.82275,282.75412,281.4742,280.666,279.99988,279.9685,279.47183,279.2113,279.0877,278.75024,278.52747,278.70032
33,34,284.8836,284.46777,284.00854,283.43518,283.56116,283.47824,282.80176,281.29077,280.82007,280.7519,280.58472,280.4475,279.6849,278.22473,278.20227
35,36,284.005,283.95026,284.15277,284.18665,284.55707,284.33423,283.96896,284.1278,284.2772,284.84045,284.68634,283.77582,282.69647,282.28778,282.0639
36,37,284.0982,283.91232,283.6268,283.6524,283.41467,283.09753,283.03918,283.13324,282.59122,282.07062,281.6067,281.51678,281.84528,281.7097,280.0557
38,39,282.62637,281.93268,280.54474,280.44495,280.32056,280.17615,279.88577,279.7597,279.742,279.5641,279.52075,279.4558,279.21808,279.18475,279.25592
39,40,286.00677,285.83057,285.78696,285.80212,285.9812,285.86282,286.08713,284.46878,284.26715,284.30597,284.1823,284.0456,284.09448,285.0817,284.7185
40,41,284.9558,284.135,284.12924,282.22314,281.62195,281.09058,280.81976,280.35376,280.42172,280.30957,280.01337,279.59622,280.11423,280.3604,280.37952
41,42,286.81744,286.6812,286.75552,286.47943,286.29077,285.5492,285.2256,284.98492,284.7857,284.5287,284.3915,283.7318,283.30768,283.07892,283.13205
42,43,280.32236,280.4391,280.52435,280.39136,280.31604,279.83157,279.57568,279.5232,279.47067,279.3897,279.11148,279.095,278.9327,278.6895,278.89484
43,44,281.5196,281.5965,281.62012,281.6435,281.64664,281.42065,281.28107,281.3265,281.44916,281.47186,281.3794,281.57166,281.3801,281.41522,280.25674
44,45,284.73013,284.5943,284.4536,284.08795,283.89716,283.74896,283.33463,282.9747,282.86108,282.749,282.8176,282.70068,282.55722,282.2563,282.05096
45,46,288.261,287.97675,287.7857,287.6317,287.6694,287.35132,287.3143,287.54352,287.32935,287.1883,287.1589,286.67752,285.5149,286.05457,285.502
46,47,285.12964,284.6937,284.4786,284.3479,283.72052,283.64844,283.1025,282.97278,282.52155,281.42252,281.3039,280.82062,281.05432,280.94604,280.16626
47,48,282.37958,281.89084,281.91473,281.35718,281.10278,280.52927,280.14746,279.63623,279.2237,279.18756,279.2898,279.2998,279.20917,279.20807,279.135
48,49,285.82983,285.6726,285.3476,285.0931,284.9296,284.75958,284.69974,284.65823,284.67563,283.90594,283.50305,282.4219,281.99518,282.23492,281.85782
49,50,284.98148,284.67688,284.4945,284.34418,284.3388,284.16452,283.7271,283.35184,283.03076,283.46045,282.93472,282.3883,282.22772,282.08844,282.0374
51,52,284.13757,283.96344,283.9673,283.59454,283.63995,283.76654,283.48218,282.95453,282.48917,282.34122,282.34903,281.6827,281.99805,282.05472,281.82257
52,53,281.00745,280.09995,277.88763,277.6907,278.2071,278.37003,278.56845,277.97992,277.75116,277.65198,277.72025,277.4715,277.4345,277.2074,276.9212
53,54,284.7475,284.65088,284.57983,284.56433,284.66068,284.38333,284.57748,284.80856,285.16992,285.26544,285.10474,284.9406,285.00757,284.85657,283.57706
54,55,283.3327,283.1772,282.98987,281.93207,281.71414,282.15442,282.67328,282.5191,282.2895,282.17755,282.06662,282.1289,282.18726,281.97644,282.04517
55,56,280.9204,280.92957,280.62842,280.67737,281.19293,280.96576,281.28278,281.31577,281.4029,281.45804,281.21494,281.60583,281.50134,281.8023,282.04874
56,57,283.43256,283.46796,283.3625,282.78806,282.46112,282.2329,281.8675,281.4228,280.23123,279.7448,279.22144,279.0114,279.581,279.1511,279.18228
57,58,281.00363,280.72504,281.0914,281.35327,280.5256,279.42175,279.3371,279.29865,279.35858,279.37476,279.35175,279.15787,279.37418,279.25296,279.02478
59,60,278.7207,278.58823,278.2602,278.08203,278.36298,278.267,278.57236,278.91553,279.00812,278.98804,279.07355,278.7842,279.20026,279.03082,278.52014
60,61,281.6502,281.8681,281.29715,280.47754,279.65417,279.45068,279.54657,279.075,278.79257,278.79437,278.4303,278.39185,279.10175,279.44003,279.25546
61,62,283.36548,283.26758,283.4054,283.2928,282.42126,281.5373,280.63702,280.95966,280.73132,280.23062,280.05634,279.86603,279.81122,279.64575,279.5522
63,64,285.70935,285.67657,285.1607,284.31665,284.13522,283.71338,283.85648,283.76453,283.71008,283.7286,283.6244,283.6751,283.59818,283.4937,283.2173
64,65,289.62335,289.19446,288.7242,288.40778,288.11816,288.15686,288.53235,288.489,286.45343,285.94257,284.90796,284.86035,284.626,284.95563,284.555
65,66,281.40576,281.43716,281.14948,280.74402,280.35944,279.90085,278.59497,278.0922,277.4885,276.88977,277.04926,277.32187,277.5159,277.48895,277.68073
67,68,282.59717,282.7049,282.77383,282.90042,282.78854,282.1944,281.94427,282.0343,282.0323,280.62332,280.42447,279.49725,279.54797,279.59967,279.5913
69,70,284.3451,284.47693,284.2183,284.1458,284.0511,283.6383,283.4043,283.34784,283.12265,282.9193,282.3728,282.3714,282.19714,281.63452,281.5883
70,71,290.62164,290.5575,290.44012,290.312,290.02692,289.7312,289.25696,288.88312,288.43,288.21393,287.7386,287.59634,287.31335,287.27786,287.32007
72,73,280.4689,280.20038,279.9682,280.27063,279.89368,279.81085,279.0915,278.70526,278.7532,278.68988,278.62366,278.0783,277.4875,276.90182,276.52133
76,77,285.86066,285.30588,284.69904,284.60437,284.49048,284.17865,283.94354,283.76855,283.59296,283.2853,283.38336,282.63428,282.41357,282.05698,281.81915
77,78,284.20142,283.78122,282.86115,282.27234,282.04126,281.01007,280.37064,280.46375,279.98328,279.59314,279.53937,279.80524,279.914,279.82065,279.74756
78,79,283.62964,283.38647,283.06653,282.92953,282.75116,282.11484,281.44165,280.90015,280.44672,279.8572,279.75366,278.69647,278.18384,277.99066,277.69415
79,80,283.84344,284.1449,284.05048,284.12283,284.07812,284.01038,284.18143,283.98285,282.9803,281.59583,281.41882,281.14197,280.94543,281.05536,281.40955
80,81,282.49753,282.34186,282.37744,281.2688,280.89783,280.41724,279.73135,279.4997,279.31778,279.2373,279.1875,279.34595,279.21497,279.6419,279.7528
81,82,280.90384,279.8849,279.6267,278.83362,278.12454,277.59842,277.8422,277.92365,277.81378,277.612,277.3506,277.11758,277.0789,277.1487,277.08536
82,83,282.48117,282.62924,281.78625,280.4081,279.1768,278.9707,278.41858,278.43198,278.2688,278.38095,278.1665,278.1797,277.71417,278.505,278.63983
84,85,281.6189,281.7644,281.15234,280.75854,280.0998,279.75018,279.4939,279.2312,279.15918,278.92392,278.86853,278.63214,278.3128,278.15613,277.81744
85,86,279.11334,278.83636,278.96597,279.15564,278.94037,279.13232,279.05276,279.00232,279.10925,279.03815,278.82513,278.86282,278.98135,278.81238,278.7475
86,87,278.83008,278.92755,279.01917,279.12982,279.2387,279.1097,279.0835,278.6282,278.42383,278.53906,278.55518,278.90808,278.8501,279.0274,278.58917
88,89,276.6773,276.76282,277.01184,277.24463,277.41196,277.792,278.26447,278.54813,278.7155,278.76785,278.80444,279.0509,278.4015,278.68448,278.03696
89,90,290.70987,290.23975,288.992,288.446,287.91388,287.55737,287.29062,287.0619,286.7092,286.66876,286.81384,286.58185,286.33328,286.65808,286.60797
91,92,284.1857,284.05136,283.93695,283.5866,283.5805,283.99493,284.20688,283.68646,283.11423,282.63727,281.8664,281.44638,281.06946,281.01678,280.60165
93,94,289.5807,289.70007,289.57327,289.47156,289.29303,289.0769,289.09174,289.10016,289.0849,288.43866,288.4846,288.35968,288.11157,288.01773,287.89673
