,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,2.2724271e-07
41,1.3629906e-06
42,9.0850517e-07
43,1.1357479e-06
44,9.0850517e-07
45,4.5401976e-07
46,0.0
47,4.5401976e-07
48,2.2724271e-07
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
