,0
0,447.41138
1,436.2423
2,446.1228
3,413.46036
4,420.80298
5,416.86404
6,428.7925
7,429.08707
8,436.26718
9,451.53348
10,453.49777
11,473.58374
12,496.99292
13,525.1787
14,528.203
15,566.37915
16,583.3718
17,616.0877
18,634.30725
19,657.7023
20,673.6758
21,702.3031
22,737.6891
23,758.69586
24,762.49255
25,746.8214
26,738.4424
27,721.4642
28,745.90405
29,719.71466
30,691.2582
31,746.12616
32,726.6365
33,709.44794
34,744.30597
35,731.6528
36,787.17883
73,411.20734
74,419.00607
75,434.98026
76,438.35776
77,453.0871
78,461.6819
79,450.31473
80,455.577
81,467.05878
82,453.88342
83,456.48288
84,468.27332
85,470.59503
86,484.92465
87,501.30768
88,520.51337
89,525.7593
90,539.8575
91,545.82556
92,551.9847
93,553.0493
94,566.118
95,557.6841
96,549.5869
97,551.9731
98,537.6047
99,519.8357
100,523.6023
101,508.3977
102,492.08688
103,467.781
104,463.23935
105,442.52945
106,423.45493
