lon_east,lon_west,lat_south,lat_north
332.661835,340.661835,47.429874,55.429874
334.778259,342.778259,47.083907,55.083907
336.894684,344.894684,46.737939,54.737939
339.011108,347.011108,46.391972,54.391972
340.60613,348.60613,46.370481,54.370481
342.201151,350.201151,46.34899,54.34899
343.796173,351.796173,46.327499,54.327499
345.358754,353.358754,46.668805,54.668805
346.921336,354.921336,47.010112,55.010112
348.483917,356.483917,47.351418,55.351418
349.760701,357.760701,47.77498,55.77498
351.037486,359.037486,48.198543,56.198543
352.31427,0.31427,48.622105,56.622105
353.222788,1.222788,49.131254,57.131254
354.131307,2.131307,49.640402,57.640402
355.039825,3.039825,50.149551,58.149551
355.713659,3.713659,50.634779,58.634779
356.387493,4.387493,51.120008,59.120008
357.061327,5.061327,51.605236,59.605236
357.759569,5.759569,52.08014,60.08014
358.457812,6.457812,52.555045,60.555045
359.156054,7.156054,53.029949,61.029949
359.666815,7.666815,53.451476,61.451476
0.177576,8.177576,53.873002,61.873002
0.688337,8.688337,54.294529,62.294529
0.976064,8.976064,54.67337,62.67337
1.263792,9.263792,55.052212,63.052212
1.551519,9.551519,55.431053,63.431053
1.754842,9.754842,55.760389,63.760389
1.958166,9.958166,56.089724,64.089724
2.161489,10.161489,56.41906,64.41906
2.188799,10.188799,56.730761,64.730761
2.216108,10.216108,57.042463,65.042463
2.243418,10.243418,57.354164,65.354164
2.266254,10.266254,57.643356,65.643356
2.289091,10.289091,57.932549,65.932549
2.311927,10.311927,58.221741,66.221741
2.164269,10.164269,58.52064,66.52064
2.016612,10.016612,58.81954,66.81954
1.868954,9.868954,59.118439,67.118439
1.724718,9.724718,59.360264,67.360264
1.580481,9.580481,59.602089,67.602089
1.436245,9.436245,59.843914,67.843914
1.194872,9.194872,60.18957,68.18957
0.9535,8.9535,60.535226,68.535226
0.712127,8.712127,60.880882,68.880882
0.543874,8.543874,61.175695,69.175695
0.375622,8.375622,61.470507,69.470507
0.207369,8.207369,61.76532,69.76532
359.935342,7.935342,61.964498,69.964498
359.663316,7.663316,62.163676,70.163676
359.391289,7.391289,62.362854,70.362854
358.919353,6.919353,62.484884,70.484884
358.447416,6.447416,62.606913,70.606913
357.97548,5.97548,62.728943,70.728943
357.773909,5.773909,62.854734,70.854734
357.572337,5.572337,62.980525,70.980525
357.370766,5.370766,63.106316,71.106316
357.014664,5.014664,63.257342,71.257342
356.658562,4.658562,63.408369,71.408369
356.30246,4.30246,63.559395,71.559395
355.713918,3.713918,63.598048,71.598048
355.125377,3.125377,63.636701,71.636701
354.536835,2.536835,63.675354,71.675354
354.07192,2.07192,63.677208,71.677208
353.607005,1.607005,63.679062,71.679062
353.14209,1.14209,63.680916,71.680916
352.948619,0.948619,63.819522,71.819522
352.755147,0.755147,63.958127,71.958127
352.561676,0.561676,64.096733,72.096733
352.052887,0.052887,64.059812,72.059812
351.544098,359.544098,64.022891,72.022891
351.035309,359.035309,63.98597,71.98597
350.584279,358.584279,63.755193,71.755193
350.13325,358.13325,63.524417,71.524417
349.68222,357.68222,63.29364,71.29364
349.274251,357.274251,62.631004,70.631004
348.866282,356.866282,61.968369,69.968369
348.458313,356.458313,61.305733,69.305733
348.427755,356.427755,61.135152,69.135152
348.397196,356.397196,60.964572,68.964572
348.366638,356.366638,60.793991,68.793991
348.310333,356.310333,60.702016,68.702016
348.254028,356.254028,60.610041,68.610041
348.197723,356.197723,60.518066,68.518066
348.05957,356.05957,60.460299,68.460299
347.921417,355.921417,60.402532,68.402532
347.783264,355.783264,60.344765,68.344765
347.532908,355.532908,60.342608,68.342608
347.282552,355.282552,60.340452,68.340452
347.032196,355.032196,60.338295,68.338295
346.885427,354.885427,60.2808,68.2808
346.738657,354.738657,60.223305,68.223305
346.591888,354.591888,60.16581,68.16581
346.213104,354.213104,60.075581,68.075581
345.83432,353.83432,59.985352,67.985352
345.455536,353.455536,59.895123,67.895123
345.195577,353.195577,59.834095,67.834095
344.935618,352.935618,59.773068,67.773068
344.675659,352.675659,59.71204,67.71204
344.468567,352.468567,59.557841,67.557841
344.261474,352.261474,59.403642,67.403642
344.054382,352.054382,59.249443,67.249443
343.820017,351.820017,58.850324,66.850324
343.585653,351.585653,58.451205,66.451205
343.351288,351.351288,58.052086,66.052086
343.412466,351.412466,57.78925,65.78925
343.473643,351.473643,57.526413,65.526413
343.534821,351.534821,57.263577,65.263577
