,0
0,287.47534
1,287.40417
2,287.51678
3,287.4665
4,287.39438
5,287.11475
6,286.93164
7,286.8686
8,287.00546
9,286.85126
10,286.01416
11,286.60645
12,287.59662
13,286.39893
14,286.0783
15,285.6691
16,285.54486
17,285.42114
18,285.70898
19,285.99493
20,286.1482
21,286.3142
22,286.3261
23,286.11316
24,285.88947
25,285.64124
26,285.46204
27,285.46622
28,285.27777
29,285.23434
30,284.7741
31,284.38983
32,283.9588
33,283.73965
34,283.58066
35,283.34766
36,283.34622
37,283.39807
38,283.1396
39,283.13367
40,283.27924
41,283.26166
42,283.13745
43,282.87747
44,282.88098
45,282.93695
46,282.9428
47,282.9411
48,283.1016
49,282.47607
50,281.42017
51,281.37225
52,281.16324
53,280.74136
54,280.5335
55,280.47922
56,280.38147
57,280.26636
58,280.07175
59,279.9856
60,279.86655
61,279.74997
62,279.70074
63,279.63907
64,279.5396
65,279.26956
66,279.00952
67,278.73517
68,278.57108
69,278.27454
70,278.3725
71,278.56982
72,278.73547
73,278.45166
74,278.17676
75,277.58508
76,277.69794
77,277.3925
78,277.38104
79,277.4588
80,277.48157
81,277.3731
82,277.41043
83,277.4004
84,277.70404
85,277.73383
86,277.72992
87,277.6631
88,277.51855
89,277.40677
90,277.39813
91,277.42303
92,277.44604
93,277.39023
94,277.58127
95,277.53592
96,277.47272
97,277.3499
98,277.21484
99,277.06842
100,276.7727
101,276.31653
102,275.95944
103,275.922
104,276.0001
105,275.85913
106,276.2508
107,276.4322
108,276.64038
109,276.47864
110,276.28683
111,276.2835
112,276.08215
113,275.8511
114,275.82983
115,275.78683
116,275.71436
117,275.7696
118,275.82706
119,275.73627
120,275.71747
121,275.8109
122,275.80258
123,275.90988
124,275.795
125,275.8457
126,275.79163
127,275.85486
128,275.912
129,275.9751
130,275.61218
131,275.475
132,275.26443
133,274.71094
134,274.1932
135,273.78748
136,273.7028
137,273.69165
138,273.66956
139,273.63568
140,273.64758
141,273.65256
142,273.43747
143,273.24213
144,273.0779
145,272.89413
146,272.75006
147,272.65668
148,272.5371
149,272.4443
150,272.45807
151,272.41443
152,272.53296
153,272.36575
154,272.4845
155,272.39694
156,272.31256
