,0
44,-215.88628
45,-215.79173
46,-216.00674
47,-212.7564
48,-211.03621
49,-208.98413
50,-207.43123
51,-205.31606
52,-203.65285
53,-203.41144
54,-201.76839
55,-200.97673
56,-202.70917
57,-202.31267
58,-202.04529
59,-206.85355
60,-207.80351
61,-205.96933
62,-204.98387
63,-207.96657
64,-208.88661
65,-214.93771
66,-217.68199
67,-219.125
68,-220.87805
69,-217.95541
70,-220.35532
71,-220.58356
72,-219.45999
73,-218.29689
74,-219.09
75,-221.44484
76,-219.90152
77,-219.29419
78,-222.96753
79,-223.37299
80,-224.51378
81,-228.53737
82,-230.20679
83,-228.24971
84,-230.56696
85,-225.48723
86,-223.08691
87,-223.43144
88,-220.6452
89,-220.6366
90,-221.06161
91,-217.19972
92,-216.44388
93,-214.02063
94,-209.62465
95,-208.45969
96,-205.11661
97,-201.6437
98,-198.33133
99,-198.4323
100,-200.59297
101,-201.13332
102,-201.77591
103,-202.11806
104,-202.06107
105,-203.24886
106,-201.4446
107,-200.55338
108,-200.51674
109,-201.01286
110,-200.36206
111,-201.35698
112,-203.92513
113,-206.2265
114,-207.79729
115,-208.63371
116,-210.88962
117,-213.68463
118,-214.4855
119,-216.0493
120,-216.9325
121,-217.61688
122,-218.70099
123,-219.39676
124,-220.73329
125,-221.2309
126,-222.64217
127,-222.33032
128,-224.70213
129,-225.45395
130,-226.69699
131,-227.58115
132,-228.45178
133,-228.78545
134,-228.42703
135,-228.1422
