,0
37,774.7183
38,825.64545
39,812.3587
40,874.5053
41,863.95245
42,859.6378
43,922.094
44,917.6192
45,966.7357
46,1032.702
47,1074.5411
48,1086.4183
49,996.87134
50,898.02765
51,868.6691
52,753.546
53,712.0695
54,656.2721
55,639.87146
56,617.4795
57,604.04724
58,549.40027
59,432.55963
60,372.9309
61,361.39188
62,318.31125
63,309.72293
64,312.31558
65,318.4839
66,320.4696
67,316.3909
68,325.22287
69,332.2747
70,345.77426
71,365.9712
72,375.9673
73,411.20734
74,419.00607
75,434.98026
76,438.35776
77,453.0871
78,461.6819
79,450.31473
80,455.577
81,467.05878
82,453.88342
83,456.48288
84,468.27332
85,470.59503
86,484.92465
87,501.30768
88,520.51337
89,525.7593
90,539.8575
91,545.82556
92,551.9847
93,553.0493
94,566.118
95,557.6841
96,549.5869
97,551.9731
98,537.6047
99,519.8357
100,523.6023
101,508.3977
102,492.08688
103,467.781
104,463.23935
105,442.52945
106,423.45493
107,403.83334
108,380.56796
