,0
0,-255.0813
1,-248.97702
2,-240.01257
3,-225.44705
4,-216.55292
5,-208.70741
6,-204.69125
7,-191.99258
8,-169.04405
9,-160.74458
10,-153.88432
11,-148.53093
12,-145.02081
13,-144.93564
14,-148.08292
15,-145.1104
16,-139.73026
17,-136.71312
18,-136.39676
19,-135.12991
20,-135.78311
21,-136.89388
22,-139.43138
23,-137.88963
24,-137.9431
25,-125.35783
26,-123.06049
27,-120.73377
28,-111.54829
29,-99.408844
30,-90.61798
31,-119.611084
32,-112.55405
33,-102.83878
34,-95.01552
35,-85.09441
36,-81.262726
37,-81.76691
38,-89.368546
39,-87.84101
40,-86.12335
41,-88.82536
42,-86.05581
43,-131.1788
44,-130.25104
45,-128.01447
46,-130.23549
47,-127.649796
48,-119.42878
49,-113.5913
50,-107.49036
51,-107.05403
52,-102.33672
53,-97.45828
54,-87.29619
55,-86.47006
56,-76.993675
57,-80.98235
58,-84.08081
59,-103.47059
60,-113.04069
61,-126.87394
62,-129.15631
63,-135.74991
64,-129.70357
65,-130.72974
66,-136.81488
67,-138.03864
68,-141.21121
69,-135.82343
70,-133.8632
71,-133.70428
72,-124.17469
73,-127.49966
74,-127.24036
75,-122.61022
76,-125.09144
77,-122.26626
78,-124.89612
79,-119.528366
80,-120.48083
81,-132.60027
82,-135.23485
83,-133.96191
84,-139.17703
85,-128.10191
86,-118.885735
87,-107.06832
88,-90.18902
89,-85.5308
90,-86.78988
91,-81.01797
92,-76.20779
93,-71.89822
94,-55.99931
95,-48.210403
96,-40.475315
97,-33.36211
98,-25.166677
99,-22.488321
100,-19.463114
101,-15.823516
102,-15.468775
103,-24.638186
104,-32.97573
105,-39.38629
106,-39.597897
107,-40.563366
108,-34.03108
109,-26.725407
110,-17.4186
111,-7.257426
112,-3.705339
113,-3.254008
114,-2.883907
115,-3.8533523
116,-3.35954
117,-3.2647846
118,-3.1157868
119,-3.10226
120,-3.0529828
121,-2.9597692
122,-3.0252123
123,-2.8052714
124,-2.7658086
125,-2.44257
126,-2.4233196
127,-4.5665913
128,-7.9150586
129,-9.995391
130,-11.510677
131,-10.125138
132,-8.291712
133,-5.399964
134,-1.9887803
135,0.4301954
