,0
0,4.0469546
1,3.8597333
2,3.9478774
3,4.147763
4,4.338225
5,4.563668
6,5.1254487
7,5.259074
8,5.420753
9,5.5202208
10,5.495471
11,5.4991827
12,5.5006585
13,5.8342104
14,5.2729545
15,4.89801
16,5.176809
17,5.0846424
18,4.4441805
19,4.360861
20,4.192076
21,3.9633067
22,3.9904363
23,4.020363
24,3.9439323
25,4.216269
26,4.618449
27,4.960472
28,5.097726
29,5.43359
30,5.885032
31,6.0162196
32,6.34906
33,6.6324224
34,7.04238
35,7.3400564
36,7.600572
37,8.088543
38,7.985258
39,7.8186445
40,7.721287
41,7.6443763
42,7.571838
43,7.5470886
44,7.4655485
45,7.442348
46,7.448871
47,7.507503
48,7.702165
49,7.9776473
50,8.127199
51,8.265832
52,8.3131075
53,8.33506
54,8.742862
55,8.258952
56,7.7494907
57,7.182971
58,6.828287
59,6.7084093
60,6.860693
61,7.031738
62,6.9090977
63,6.6880145
64,6.2504864
65,5.467346
66,4.8110433
67,4.1938777
68,3.7781248
69,3.5740569
70,3.5725956
71,3.5796773
72,3.3942795
73,3.3333652
74,3.0956624
75,2.8616915
76,2.6576385
77,2.5495825
78,2.3459845
79,2.1679192
80,2.0524907
81,1.8701147
82,1.708885
83,1.6055578
84,1.4259264
85,1.1431012
86,1.0191027
87,0.9358662
88,0.8276928
89,0.78023005
90,0.73301333
91,0.7126055
92,0.702849
93,0.70969707
94,0.70694697
95,0.6999931
96,0.6642722
97,0.5054729
98,0.5018314
99,0.4789954
100,0.48598272
101,0.6066169
102,0.7761575
103,0.909932
104,1.0703404
105,1.506022
106,1.9316912
107,2.0706198
108,1.9802029
109,1.6668446
110,1.4699373
111,1.3529124
112,1.1208996
113,0.92126805
114,0.7698913
115,0.8014124
116,1.1511551
117,1.642346
118,1.928695
119,2.115535
120,2.3717704
121,2.5515301
122,2.5964224
123,2.7990859
124,2.9867136
125,3.137647
126,3.3100474
127,3.4415784
128,3.5343654
129,3.6386945
130,3.6740816
131,3.6709437
132,3.4791112
133,3.0911987
134,2.644325
135,2.3999493
136,2.2703898
137,2.007882
138,1.9114517
139,1.8062782
140,1.8006365
141,1.8535032
142,1.9142599
143,2.0194285
144,2.047646
145,2.072016
146,2.071803
147,2.0622008
148,2.0980089
149,2.1241312
150,2.1261003
