lon_east,lon_west,lat_north,lat_south
255.711029,263.711029,35.519335,27.519335
257.125122,265.125122,37.332455,29.332455
259.750427,267.750427,36.840683,28.840683
261.370575,269.370575,37.084366,29.084366
263.080475,271.080475,37.547295,29.547295
264.992218,272.992218,38.396282,30.396282
266.646759,274.646759,38.670631,30.670631
269.091492,277.091492,39.692455,31.692455
271.597351,279.597351,40.934692,32.934692
274.256104,282.256104,42.031879,34.031879
276.385803,284.385803,43.07029,35.07029
279.233307,287.233307,44.116684,36.116684
281.830811,289.830811,45.169674,37.169674
283.959808,291.959808,45.991611,37.991611
286.480194,294.480194,46.582664,38.582664
288.783936,296.783936,47.215828,39.215828
291.226318,299.226318,47.734379,39.734379
293.563904,301.563904,48.261219,40.261219
296.06134,304.06134,48.657253,40.657253
298.807739,306.807739,48.894104,40.894104
301.955719,309.955719,48.975174,40.975174
305.718842,313.718842,48.804295,40.804295
309.428131,317.428131,48.646278,40.646278
315.347931,323.347931,48.975548,40.975548
320.843719,328.843719,49.535858,41.535858
325.664825,333.664825,50.077869,42.077869
330.610535,338.610535,51.004101,43.004101
334.513916,342.513916,51.830471,43.830471
338.139282,346.139282,52.735893,44.735893
341.200806,349.200806,53.789692,45.789692
343.449585,351.449585,55.06921,47.06921
345.264557,353.264557,56.273483,48.273483
346.861053,354.861053,57.525562,49.525562
348.323029,356.323029,58.734501,50.734501
348.677216,356.677216,60.204521,52.204521
349.869446,357.869446,61.122444,53.122444
350.327972,358.327972,62.150631,54.150631
350.745758,358.745758,63.327164,55.327164
350.944733,358.944733,64.200336,56.200336
351.028442,359.028442,65.111824,57.111824
351.20343,359.20343,66.044575,58.044575
351.554077,359.554077,67.003792,59.003792
352.035614,0.035614,67.804031,59.804031
352.413788,0.413788,68.720985,60.720985
352.945526,0.945526,69.622169,61.622169
353.091003,1.091003,70.203178,62.203178
353.54657,1.54657,70.65802,62.65802
354.019104,2.019104,71.506012,63.506012
354.348724,2.348724,72.106232,64.106232
355.102295,3.102295,72.75116,64.75116
356.242918,4.242918,73.491028,65.491028
356.822468,4.822468,74.414696,66.414696
357.685669,5.685669,75.274757,67.274757
358.835092,6.835092,75.873024,67.873024
359.217073,7.217073,76.468788,68.468788
0.407294,8.407294,77.487328,69.487328
2.202987,10.202987,78.446884,70.446884
2.99416,10.99416,79.340912,71.340912
3.395032,11.395032,80.018875,72.018875
