,0
0,0.000114939154
1,9.974145e-05
2,9.422455e-05
3,0.00011644097
4,0.000113961796
5,0.0001072476
6,0.00018689682
7,0.00035744664
8,0.00044936803
9,0.00045189043
10,0.00031583002
11,0.00021498717
12,0.00019885864
13,0.00012549665
14,7.338174e-05
15,5.2833733e-05
16,3.6391182e-05
17,4.3490425e-05
18,4.167296e-05
19,5.3646163e-05
20,8.0871774e-05
21,8.1168415e-05
22,7.843016e-05
23,7.499234e-05
24,7.40559e-05
25,8.4061256e-05
26,8.8638124e-05
27,8.7350614e-05
28,9.287032e-05
29,7.614265e-05
30,8.0178084e-05
31,6.884924e-05
32,6.060255e-05
33,6.2623876e-05
34,4.3354677e-05
35,4.858998e-05
36,6.7994326e-05
37,9.440641e-05
38,9.300217e-05
39,7.144415e-05
40,6.540273e-05
41,6.969444e-05
42,7.139483e-05
43,6.697076e-05
44,7.294652e-05
45,6.308017e-05
46,5.4759646e-05
47,3.8383783e-05
48,4.458721e-05
49,4.0182804e-05
50,3.3176093e-05
51,3.4389213e-05
52,4.4699624e-05
53,5.1080864e-05
54,5.9115744e-05
55,3.7485945e-05
56,3.2223288e-05
57,3.046107e-05
58,3.7665035e-05
59,3.5651916e-05
60,3.3443845e-05
61,3.561488e-05
62,3.2286905e-05
63,1.927097e-05
64,1.2511564e-05
65,1.5616733e-05
66,1.9012889e-05
67,1.950832e-05
68,2.5241348e-05
69,2.5927127e-05
70,5.3806347e-05
