,0
0,2.7624512
1,4.5919037
2,4.9261856
3,6.229904
4,6.117462
5,5.6403427
6,5.0872574
7,4.482498
8,3.3580856
9,2.3339539
10,2.0908356
11,1.2034607
12,1.2429657
13,1.3067856
14,0.9998474
15,0.6017456
16,0.42852783
17,0.35559082
18,0.2796173
19,0.31304932
20,0.18844604
21,0.112472534
22,0.10031891
23,0.12463379
24,0.13375092
25,0.112472534
26,0.09423828
27,0.0638504
28,0.082084656
29,0.106399536
30,0.07904816
31,0.06993103
32,0.0638504
33,0.09120178
34,0.085121155
35,0.082084656
36,0.12767029
37,0.14286041
38,0.15502167
39,0.1641388
40,0.18844604
41,0.3434372
42,0.38902283
43,0.46803284
44,0.50450134
45,0.35862732
46,0.25834656
47,0.33432007
48,0.45283508
49,0.55616
50,0.5622406
51,0.39205933
52,0.35255432
53,0.34039307
54,0.34039307
55,0.36167145
56,0.4194107
57,0.40421295
58,0.32216644
59,0.29177094
60,0.32520294
