,0
22,-18.389877
23,-16.23111
24,-15.273254
25,-15.586655
26,-15.557312
27,-14.893921
28,-15.907776
29,-15.755814
30,-15.857086
31,-11.542358
32,-6.1263733
33,-3.4111938
34,-1.9683228
35,-2.641922
36,-3.5874023
37,-0.24830627
38,-1.4452972
39,-1.4104614
40,-0.9610596
41,-1.2146454
42,-0.7585144
43,-1.0163727
44,-1.8264465
45,-1.5556488
46,-2.261032
47,-2.723648
48,-2.9772034
49,-3.4436493
50,-4.0693054
51,-4.316086
52,-6.645294
53,-6.390869
54,-4.755371
55,-4.191696
56,-3.493866
57,-3.2514038
58,-2.6223602
59,-2.9918823
60,-3.6113586
